layer,mean_abs_proj,mean_norm_proj
0,0.025552082806825638,0.11352826654911041
1,0.39554354548454285,0.12778471410274506
2,0.56927090883255,0.13244344294071198
3,0.6981555819511414,0.12476803362369537
4,0.9353896379470825,0.12045742571353912
5,1.1057621240615845,0.11903510987758636
6,1.2036755084991455,0.1220938190817833
7,1.4424129724502563,0.12487733364105225
8,1.8412525653839111,0.12370030581951141
9,2.0668821334838867,0.12250306457281113
10,2.1814029216766357,0.12440081685781479
11,2.3298239707946777,0.1269378960132599
12,2.4049062728881836,0.12767764925956726
13,2.5077157020568848,0.13052204251289368
14,2.6861953735351562,0.131460502743721
15,3.055729389190674,0.14271430671215057
16,3.3805572986602783,0.14943288266658783
17,3.533928632736206,0.14825354516506195
18,3.8532097339630127,0.1538788080215454
19,4.84199857711792,0.17631979286670685
20,7.34378719329834,0.2216903269290924
21,9.518239974975586,0.2345161885023117
22,11.568589210510254,0.22923171520233154
23,13.87921142578125,0.2261190414428711
24,16.61141014099121,0.22740407288074493
25,19.384872436523438,0.22868862748146057
26,22.34159278869629,0.2268841713666916
27,25.588882446289062,0.2255062609910965
28,23.267732620239258,0.231949120759964
