layer,mean_abs_proj,mean_norm_proj
0,0.025552082806825638,0.11352826654911041
1,0.39554354548454285,0.12778471410274506
2,0.56927090883255,0.13244344294071198
3,0.6981555819511414,0.12476803362369537
4,0.9353896379470825,0.12045742571353912
5,1.1057621240615845,0.11903510987758636
6,1.2036755084991455,0.1220938190817833
7,1.4424129724502563,0.12487733364105225
8,1.8412525653839111,0.12370030581951141
9,2.0668821334838867,0.12250306457281113
10,2.1814029216766357,0.12440081685781479
11,2.3298239707946777,0.1269378960132599
12,2.4049062728881836,0.12767764925956726
13,2.5077157020568848,0.13052204251289368
14,2.6861953735351562,0.131460502743721
15,3.055729389190674,0.14271430671215057
16,3.3805572986602783,0.14943288266658783
17,3.533928632736206,0.14825354516506195
18,3.8532097339630127,0.1538788080215454
19,4.84199857711792,0.17631979286670685
20,6.573330879211426,0.205922931432724
21,8.051313400268555,0.2078956663608551
22,9.792532920837402,0.201398566365242
23,11.744422912597656,0.19853684306144714
24,14.136614799499512,0.20074781775474548
25,16.511402130126953,0.20223674178123474
26,18.935626983642578,0.19986918568611145
27,21.812849044799805,0.1996595710515976
28,19.541584014892578,0.2011595219373703
