layer,cos_R_refusal,cos_Rperp_refusal,cos_tauA_refusal,cos_tauU_refusal,cos_joint_refusal
0,0.0,0.0,0.0,0.0,0.0
1,0.01406850852072239,-0.009110892191529274,-0.061523452401161194,0.047320425510406494,-0.05356133356690407
2,0.008196303620934486,-0.04787898808717728,-0.12662328779697418,0.07748731225728989,-0.12360495328903198
3,0.026494644582271576,-0.02728567272424698,-0.13524559140205383,0.040264979004859924,-0.13481496274471283
4,0.03168632835149765,-0.00033245794475078583,-0.06448531895875931,0.05924062803387642,-0.05354507267475128
5,0.028453223407268524,-0.006113891955465078,-0.02745426818728447,0.11480456590652466,-0.006369378883391619
6,0.04682094603776932,0.02577243372797966,-0.017479650676250458,0.0844368040561676,0.0034574493765830994
7,0.04932082071900368,0.02688593789935112,-0.0248909629881382,0.06702346354722977,-0.006535700522363186
8,0.020370572805404663,-0.010951611213386059,-0.035047419369220734,0.06713976711034775,-0.021818144246935844
9,0.009837999939918518,-0.011379081755876541,-0.006719865836203098,0.05939933657646179,0.004619221668690443
10,0.04657285287976265,0.038710638880729675,0.0416635200381279,0.05246222764253616,0.0605710968375206
11,0.05147932097315788,0.03540980443358421,0.008103184401988983,0.0517997220158577,0.027532802894711494
12,0.0420522466301918,0.015019191429018974,-0.01846177689731121,0.06108827516436577,6.967410445213318e-05
13,0.05482771247625351,0.01840544119477272,-0.03295191749930382,0.07544656842947006,-0.008901610970497131
14,0.0686379224061966,0.03904690220952034,-0.01570025645196438,0.07357509434223175,0.011961039155721664
15,0.06487368047237396,0.05249889940023422,0.0123549560084939,0.057246141135692596,0.03716032952070236
16,0.045923225581645966,0.022800981998443604,-0.026144444942474365,0.04644879698753357,-0.009165612980723381
17,0.058660395443439484,0.042132891714572906,-0.009941885247826576,0.04934702068567276,0.01092258095741272
18,0.0431213304400444,0.025240756571292877,-0.00992100965231657,0.04760127514600754,0.0070397332310676575
19,0.04760664328932762,0.014873855747282505,0.003673726227134466,0.08229008316993713,0.026895340532064438
20,0.062059346586465836,0.021740680560469627,-0.02299596555531025,0.08111853897571564,0.0010660565458238125
21,0.03470844402909279,-0.007276792079210281,-0.04823802039027214,0.05880849063396454,-0.032529618591070175
22,0.03638516739010811,-0.016187379136681557,-0.04195253551006317,0.08362022042274475,-0.02076151967048645
23,0.04940182715654373,-0.022977979853749275,-0.053327031433582306,0.1135595291852951,-0.022614536806941032
24,0.033486783504486084,-0.02289557456970215,-0.05176197364926338,0.07813431322574615,-0.03181478753685951
25,0.05492350459098816,-0.004344653338193893,-0.03456681966781616,0.09415903687477112,-0.006645538378506899
26,0.046156130731105804,-0.0017954632639884949,-0.03543965518474579,0.07073559612035751,-0.012892365455627441
27,0.044309455901384354,-0.0003257701173424721,-0.037626396864652634,0.06377770006656647,-0.015528799034655094
28,0.16120748221874237,0.05097656324505806,-0.04974569007754326,0.17433543503284454,0.0022291336208581924
