layer,mean_abs_proj,mean_norm_proj
0,0.022916581481695175,0.11591213941574097
1,0.3347596228122711,0.11304832994937897
2,0.600278377532959,0.14404499530792236
3,0.6680852174758911,0.12079951912164688
4,0.9487963914871216,0.11731331050395966
5,1.1738295555114746,0.11741113662719727
6,1.2085195779800415,0.11215873807668686
7,1.5225356817245483,0.11622222512960434
8,1.9400651454925537,0.11554630100727081
9,2.4254977703094482,0.12527331709861755
10,2.40083646774292,0.11792059987783432
11,2.603353977203369,0.12018327414989471
12,2.7861976623535156,0.12434446811676025
13,2.927734851837158,0.12721790373325348
14,3.379021406173706,0.1342584788799286
15,3.094511032104492,0.11951714754104614
16,3.596172332763672,0.12646643817424774
17,3.69895601272583,0.12502524256706238
18,4.190782070159912,0.13286295533180237
19,5.2115583419799805,0.14576680958271027
20,6.978545188903809,0.1539040356874466
21,8.64936351776123,0.15832287073135376
22,9.855534553527832,0.14963176846504211
23,12.541105270385742,0.15908010303974152
24,12.985862731933594,0.14393644034862518
25,15.398963928222656,0.1491994708776474
26,17.00905990600586,0.14639133214950562
27,21.61269760131836,0.16132411360740662
28,16.180042266845703,0.15618228912353516
