layer,mean_abs_proj,mean_norm_proj
0,0.027348771691322327,0.16348384320735931
1,0.33759599924087524,0.13564366102218628
2,0.5554693937301636,0.1581835150718689
3,0.7325186729431152,0.1573604941368103
4,0.9916049242019653,0.1465226709842682
5,1.2579071521759033,0.15092967450618744
6,1.297265648841858,0.14455795288085938
7,1.5334994792938232,0.142353355884552
8,1.9475548267364502,0.13814972341060638
9,2.166017770767212,0.134366974234581
10,2.388230323791504,0.1381738781929016
11,2.611506223678589,0.1424322873353958
12,2.669985294342041,0.1410982459783554
13,2.8035812377929688,0.14385269582271576
14,3.008697032928467,0.14277751743793488
15,3.399705410003662,0.15435567498207092
16,3.7463812828063965,0.15911178290843964
17,3.8709323406219482,0.1578851044178009
18,4.106913089752197,0.15856224298477173
19,4.676279544830322,0.16003665328025818
20,6.269835472106934,0.1697634756565094
21,7.500024318695068,0.16957686841487885
22,8.954182624816895,0.1664101779460907
23,10.983585357666016,0.1711028665304184
24,12.651651382446289,0.16953185200691223
25,14.684896469116211,0.17181894183158875
26,16.808731079101562,0.17376208305358887
27,19.556407928466797,0.1774521917104721
28,18.978771209716797,0.21867266297340393
