layer,cos_res_ai,cos_res_user,cos_res_joint
0,-0.1555243730545044,0.37563472986221313,0.20899128913879395
1,-0.2401387244462967,0.2922990620136261,0.019888006150722504
2,-0.34787696599960327,0.28048473596572876,-0.11781597137451172
3,-0.37411320209503174,0.2586478888988495,-0.1585458517074585
4,-0.3524666726589203,0.2754729986190796,-0.12653188407421112
5,-0.3780454695224762,0.2614747881889343,-0.1605423092842102
6,-0.32888278365135193,0.2778029441833496,-0.10685847699642181
7,-0.29601725935935974,0.31632909178733826,-0.06746532022953033
8,-0.2886158227920532,0.3571060299873352,-0.04929489269852638
9,-0.21434900164604187,0.34048616886138916,0.028988923877477646
10,-0.24116966128349304,0.4101978540420532,0.02044053189456463
11,-0.21614091098308563,0.4309626817703247,0.060136232525110245
12,-0.22941525280475616,0.419450968503952,0.03539606183767319
13,-0.23999950289726257,0.42402011156082153,0.03302467614412308
14,-0.23319624364376068,0.4189230799674988,0.05004017800092697
15,-0.3161020874977112,0.42591115832328796,-0.028757845982909203
16,-0.3456754982471466,0.3717660903930664,-0.08913062512874603
17,-0.3115916848182678,0.3817024230957031,-0.04375492036342621
18,-0.28698301315307617,0.3745632767677307,-0.02584144100546837
19,-0.22555479407310486,0.41766440868377686,0.03911224752664566
20,-0.2918318212032318,0.4525034427642822,-0.047065820544958115
21,-0.25778424739837646,0.4559420049190521,-0.013053745031356812
22,-0.23453901708126068,0.45689859986305237,0.02226129174232483
23,-0.2692560851573944,0.44584619998931885,0.0013431194238364697
24,-0.26998376846313477,0.45848342776298523,-0.012151828035712242
25,-0.25536447763442993,0.4853612780570984,0.02028377540409565
26,-0.250844806432724,0.4933086037635803,0.032554272562265396
27,-0.24370519816875458,0.4827590584754944,0.050660140812397
28,-0.45034241676330566,0.6631935834884644,-0.20436039566993713
