layer,cosine_similarity
0,-0.28076524
1,-0.25248185
2,-0.28653258
3,-0.26359963
4,-0.22427905
5,-0.1404098
6,-0.22242913
7,-0.16343968
8,-0.13858387
9,-0.10256593
10,-0.10979804
11,-0.03387988
12,-0.053438254
13,-0.040184908
14,-0.0058206767
15,-0.025761705
16,-0.0012053382
17,0.004708849
18,0.013108827
19,0.05641913
20,0.010359035
21,0.041567694
22,0.05122903
23,0.06465753
24,0.05960968
25,0.086438455
26,0.09638969
27,0.118450604
28,-0.09460902
