layer,divergence_norm
0,0.79053384
1,0.8088177
2,0.83872676
3,0.83764255
4,0.83099806
5,0.8278118
6,0.8298467
7,0.81855905
8,0.7975008
9,0.7955513
10,0.7715041
11,0.7587298
12,0.76752734
13,0.7611956
14,0.75427747
15,0.74255854
16,0.7640143
17,0.7577631
18,0.7672947
19,0.7688267
20,0.7695525
21,0.77385074
22,0.7662186
23,0.7533734
24,0.7620423
25,0.7489525
26,0.74498063
27,0.7403949
28,0.7407119
