layer,divergence_norm
0,0.9329922
1,0.90834033
2,0.92000824
3,0.9144029
4,0.9162827
5,0.9072194
6,0.90893376
7,0.90925926
8,0.8997813
9,0.8937849
10,0.89194536
11,0.8780972
12,0.8869187
13,0.8836055
14,0.8763454
15,0.845006
16,0.8673075
17,0.87126046
18,0.8823252
19,0.8887592
20,0.87382776
21,0.88557345
22,0.8864388
23,0.873314
24,0.8853712
25,0.8830155
26,0.8873869
27,0.8836187
28,0.8872073
