layer,cos_res_ai,cos_res_user,cos_res_joint
0,0.20467564463615417,-0.024666771292686462,0.4572368264198303
1,0.3270600140094757,-0.20438961684703827,0.48775210976600647
2,0.37428000569343567,-0.26992982625961304,0.5107405781745911
3,0.3755186200141907,-0.2531020939350128,0.5063377618789673
4,0.37659981846809387,-0.17358124256134033,0.5191454291343689
5,0.34795427322387695,-0.14639312028884888,0.4842766523361206
6,0.3414720594882965,-0.181357279419899,0.47261229157447815
7,0.38025107979774475,-0.13681665062904358,0.5038727521896362
8,0.3418257534503937,-0.03953847661614418,0.48274099826812744
9,0.3165956437587738,0.006379232741892338,0.4701173007488251
10,0.2897964417934418,0.07819226384162903,0.4524901807308197
11,0.2841055989265442,0.12433306872844696,0.46070215106010437
12,0.29895442724227905,0.1152886152267456,0.4675477147102356
13,0.305042028427124,0.12912575900554657,0.4755558967590332
14,0.3248738646507263,0.13737334311008453,0.4945438504219055
15,0.21595792472362518,0.11645600199699402,0.4008822441101074
16,0.22193101048469543,0.06254837661981583,0.3844276964664459
17,0.2378602772951126,0.09554724395275116,0.408410906791687
18,0.25409311056137085,0.08989611268043518,0.4222986698150635
19,0.23869991302490234,0.09921995550394058,0.42208439111709595
20,0.13445515930652618,-0.01942988485097885,0.3076959252357483
21,0.0796671062707901,-0.04079452157020569,0.2582302689552307
22,0.04405497387051582,-0.06842134147882462,0.22961515188217163
23,-0.03919102996587753,-0.02258947119116783,0.17723481357097626
24,-0.02518966794013977,-0.06156172975897789,0.1699468195438385
25,-0.025436893105506897,-0.03273806348443031,0.17726871371269226
26,-0.016811732202768326,-0.028448862954974174,0.19453194737434387
27,-0.009719780646264553,0.014770898967981339,0.21513819694519043
28,0.09270597994327545,-0.08687169849872589,0.23170116543769836
