layer,cosine_similarity
0,-0.16355
1,-0.104748376
2,-0.12947854
3,-0.09479399
4,-0.043151367
5,0.04097779
6,0.0513262
7,0.095625386
8,0.13931608
9,0.16952142
10,0.19755393
11,0.21285483
12,0.2439235
13,0.264223
14,0.26663592
15,0.23065495
16,0.28755575
17,0.30901742
18,0.32320005
19,0.3460748
20,0.21112162
21,0.229034
22,0.21042569
23,0.17953227
24,0.17690274
25,0.20652524
26,0.20330867
27,0.2423853
28,-0.013979873
