layer,cos_res_ai,cos_res_user,cos_res_joint
0,0.20467564463615417,-0.024666771292686462,0.4572368264198303
1,0.3270600140094757,-0.20438961684703827,0.48775210976600647
2,0.37428000569343567,-0.26992982625961304,0.5107405781745911
3,0.3755186200141907,-0.2531020939350128,0.5063377618789673
4,0.37659981846809387,-0.17358124256134033,0.5191454291343689
5,0.34795427322387695,-0.14639312028884888,0.4842766523361206
6,0.3414720594882965,-0.181357279419899,0.47261229157447815
7,0.38025107979774475,-0.13681665062904358,0.5038727521896362
8,0.3418257534503937,-0.03953847661614418,0.48274099826812744
9,0.3165956437587738,0.006379232741892338,0.4701173007488251
10,0.2897964417934418,0.07819226384162903,0.4524901807308197
11,0.2841055989265442,0.12433306872844696,0.46070215106010437
12,0.29895442724227905,0.1152886152267456,0.4675477147102356
13,0.305042028427124,0.12912575900554657,0.4755558967590332
14,0.3248738646507263,0.13737334311008453,0.4945438504219055
15,0.21595792472362518,0.11645600199699402,0.4008822441101074
16,0.22193101048469543,0.06254837661981583,0.3844276964664459
17,0.2378602772951126,0.09554724395275116,0.408410906791687
18,0.25409311056137085,0.08989611268043518,0.4222986698150635
19,0.23869991302490234,0.09921995550394058,0.42208439111709595
20,0.21323262155056,-0.09049560874700546,0.3489566147327423
21,0.216277077794075,-0.08384864777326584,0.34984636306762695
22,0.1770848035812378,-0.1007922813296318,0.3202706277370453
23,0.10444869101047516,-0.07049844413995743,0.2674146890640259
24,0.1098925918340683,-0.10950982570648193,0.2571442425251007
25,0.10278354585170746,-0.09233476221561432,0.2531455457210541
26,0.11641719192266464,-0.08218831568956375,0.27335405349731445
27,0.1259247064590454,-0.02645786479115486,0.2928709387779236
28,0.3072719871997833,-0.10934891551733017,0.40797367691993713
