layer,divergence_norm
0,0.90409964
1,0.8673614
2,0.883161
3,0.8720521
4,0.87810445
5,0.88702714
6,0.874171
7,0.88944674
8,0.8651847
9,0.8773843
10,0.85826373
11,0.85970855
12,0.8640284
13,0.86320955
14,0.8723501
15,0.83965486
16,0.8504634
17,0.84572643
18,0.85843164
19,0.8768557
20,0.8507347
21,0.85824895
22,0.8534688
23,0.8546314
24,0.84805125
25,0.8463804
26,0.85153544
27,0.85915864
28,0.8598293
