layer,cosine_similarity
0,0.5747217
1,0.57175356
2,0.61921155
3,0.61614627
4,0.6356574
5,0.67094356
6,0.6369321
7,0.6828212
8,0.631885
9,0.65517193
10,0.6252013
11,0.6337968
12,0.64314836
13,0.6407464
14,0.6617745
15,0.59835565
16,0.61550844
17,0.60040176
18,0.6246851
19,0.66406876
20,0.61553854
21,0.633783
22,0.62478113
23,0.6175745
24,0.6192336
25,0.6162946
26,0.6286008
27,0.633827
28,0.67272884
