layer,cos_leak,gamma_leak,angle_deg,norm_source,norm_target
0,0.40230854253843673,0.19908993327193183,66.27742383391316,0.009469502605497837,0.019135914742946625
1,0.44984439924172476,0.2449699583052151,63.26629879358506,0.20138032734394073,0.3697997033596039
2,0.4271234858227064,0.2082898552512392,64.71485265112413,0.27368980646133423,0.5612339973449707
3,0.4223747685018625,0.20580993395144426,65.01539241028159,0.38757017254829407,0.7953934073448181
4,0.43923175610916526,0.20701321307074008,63.94512557245,0.5307004451751709,1.126017451286316
5,0.4882616507651845,0.22610557857821154,60.77361117364205,0.6829168200492859,1.4747185707092285
6,0.4519469552600436,0.21444125537713582,63.13133264328392,0.7279838919639587,1.5342668294906616
7,0.483698635717612,0.2150175054431904,61.072754303341476,0.8802115321159363,1.9801044464111328
8,0.5476572528684902,0.26809984190167735,56.793561287910954,1.2601044178009033,2.5740609169006348
9,0.5640110965699192,0.27321543184929925,55.666351762484275,1.4916518926620483,3.079285144805908
10,0.5799001301558473,0.3021256250515273,54.55648136666173,1.730643630027771,3.32179856300354
11,0.6343547654285544,0.33749792829588715,50.62785496246565,1.9631142616271973,3.6898326873779297
12,0.6160942909415171,0.3228512453985447,51.96852348485636,1.9671767950057983,3.7539467811584473
13,0.6257527092987717,0.33257430653102116,51.26254433621757,2.059142827987671,3.8743648529052734
14,0.6416159074017702,0.34053578761470127,50.08758055302623,2.27742338180542,4.290976524353027
15,0.6770275896724203,0.3851560316413366,47.388197197655046,2.6199967861175537,4.605432510375977
16,0.678976360428695,0.37799370918502534,47.23629606914994,2.897639274597168,5.2049241065979
17,0.6823650794300768,0.39103874022909774,46.971263716168146,3.0683064460754395,5.354214191436768
18,0.6672561162235939,0.37005405002759645,48.14435786643443,3.2061398029327393,5.781091690063477
19,0.6626072361591079,0.34711381550951925,48.500980126323256,3.7614340782165527,7.180219650268555
20,0.6803397075856877,0.34702782610486277,47.12980530126157,5.420064926147461,10.625906944274902
21,0.6820963796515639,0.34206025810278323,46.9923204603155,6.4592156410217285,12.880208969116211
22,0.6936972155170629,0.35406815238403266,46.0765071733143,7.842195987701416,15.364583015441895
23,0.7241501095931255,0.3730521393987994,43.60180718230761,9.827408790588379,19.076473236083984
24,0.7178762787084276,0.3650560073152319,44.12058071441875,11.265262603759766,22.152942657470703
25,0.7356500201209208,0.3756204557722674,42.6378294731972,13.415854454040527,26.274856567382812
26,0.7433147411971173,0.382006386652148,41.98544854050069,15.190693855285645,29.558319091796875
27,0.7582932753119052,0.38587420091269,40.68603304179336,17.866580963134766,35.11016845703125
28,0.6181158574902437,0.32289583609839667,51.82132542379047,15.553683280944824,29.774240493774414
